title,genres,keywords,tagline,cast,director
Avatar,Action Adventure Fantasy,avatar future marine war,"Enter the World of Pandora",Sam Worthington Zoe Saldana,James Cameron
Pirates of the Caribbean: At World's End,Adventure Fantasy Action,pirate sea ship,"At the end of the world, the adventure begins.",Johnny Depp Orlando Bloom,Gore Verbinski
Spectre,Action Adventure Thriller,spy secret agent mission,"A Plan No One Escapes",Daniel Craig Léa Seydoux,Sam Mendes
The Dark Knight Rises,Action Crime Drama,batman hero gotham,"The Legend Ends",Christian Bale Anne Hathaway,Christopher Nolan
John Carter,Action Adventure Science Fiction,mars alien war,"Lost in Our World, Found in Another.",Taylor Kitsch Lynn Collins,Andrew Stanton
Spider-Man 3,Action Adventure Fantasy,spiderman venom superhero,"The Battle Within",Tobey Maguire Kirsten Dunst,Sam Raimi
Tangled,Animation Family Fantasy,princess magic tower,"They're taking adventure to new lengths.",Mandy Moore Zachary Levi,Nathan Greno
Avengers: Age of Ultron,Action Adventure Science Fiction,avenger robot ironman,"A New Age Has Come.",Robert Downey Jr. Chris Evans,Joss Whedon
Harry Potter and the Half-Blood Prince,Adventure Fantasy Magic,harry potter wizard school,"Dark Secrets Revealed",Daniel Radcliffe Emma Watson,David Yates
Batman v Superman: Dawn of Justice,Action Adventure Fantasy,batman superman hero,"Who Will Win?",Ben Affleck Henry Cavill,Zack Snyder
